브랜드,제품명,현재 판매가,회원 할인가,판매자,다른 판매자,옵션,상세정보,URL
탐사,"탐사수 무라벨, 500ml, 120개",,"23,690원",로켓배송,없음,개당 용량 × 총 수량: 500ml × 120개,"소비기한(또는 유통기한): 2024-08-07 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 쿠팡상품번호: 5625704601 - 19013169966",https://www.coupang.com/vp/products/5625704601?itemId=19013169966&vendorItemId=86137790403
,"지리산 물하나, 2L, 36개",,"18,190원",로켓배송,21,개당 용량 × 총 수량: 2L × 36개,"소비기한(또는 유통기한): 2024-11-30 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 음료수 종류: 생수, 라벨 유무: 유라벨, 쿠팡상품번호: 6641250902 - 15134668796",https://www.coupang.com/vp/products/6641250902?itemId=15134668796&vendorItemId=88103613692
,[풀무원샘물] by Nature 2L X 18병,,,로켓배송,,,,https://www.coupang.com/vp/products/7856560668?itemId=13262387094&vendorItemId=81499849311
,"아이시스 무라벨 ECO 생수, 2L, 36개",,"25,930원",로켓배송,4,개당 용량 × 총 수량: 2L × 36개,"소비기한(또는 유통기한): 2024-08-05 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 쿠팡상품번호: 7841914137 - 21350776184",https://www.coupang.com/vp/products/7841914137?itemId=21350776184&vendorItemId=88408440146
,"강원 평창수 무라벨, 2L, 30개",,"19,800원",로켓배송,5,개당 용량 × 총 수량: 2L × 30개,"소비기한(또는 유통기한): 2025-02-18 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 음료수 종류: 생수, 쿠팡상품번호: 5269360716 - 13064287016",https://www.coupang.com/vp/products/5269360716?itemId=13064287016&vendorItemId=86495568256
동원,"동원샘물 생수 2L * 24병, 2L, 24개",,"14,550원",㈜동원디어푸드 ( 동원몰 ),2,개당 용량 × 총 수량: 2L × 24개,"음료수 종류: 상세 설명 참조, 비건 여부: 상세 설명 참조, 가정용/업소용: 상세 설명 참조, 유기농/친환경 등: 상세 설명 참조, 열량: 상세 설명 참조, 쿠팡상품번호: 7994141013 - 22230752566",https://www.coupang.com/vp/products/7994141013?itemId=22230752566&vendorItemId=85293566037
탐사,"탐사수, 2L, 30개",,"15,290원",로켓배송,없음,개당 용량 × 총 수량: 2L × 30개,"소비기한(또는 유통기한): 2024-08-08 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 라벨 유무: 유라벨, 쿠팡상품번호: 27613130 - 16104582870",https://www.coupang.com/vp/products/27613130?itemId=16104582870&vendorItemId=83301837682
탐사,"탐사수 무라벨, 330ml, 60개",,"12,890원",로켓배송,없음,개당 용량 × 총 수량: 330ml × 60개,"소비기한(또는 유통기한): 2024-07-22 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 쿠팡상품번호: 5625704601 - 11696964056",https://www.coupang.com/vp/products/5625704601?itemId=11696964056&vendorItemId=78971270753
동원,"동원샘물 무라벨 2l X 6병 (오늘출발+무료배송) 생수 물 2l, 2L, 6개",,"3,980원",주식회사쇼우몰,없음,개당 용량 × 총 수량: 2L × 6개,"라벨 유무: 무라벨, 수원지: 상세 설명 참조, 용기 타입: 플라스틱병, 쿠팡상품번호: 7869554035 - 21494763403",https://www.coupang.com/vp/products/7869554035?itemId=21494763403&vendorItemId=88446385812
,"에브리데이 산수, 1L, 60개",,"22,180원",로켓배송,9,개당 용량 × 총 수량: 1L × 60개,"소비기한(또는 유통기한): 2024-08-29 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 대용량상품: Y, 음료수 종류: 생수, 쿠팡상품번호: 7691729906 - 14910847328",https://www.coupang.com/vp/products/7691729906?itemId=14910847328&vendorItemId=86471109291
스파클,"스파클 무라벨 생수, 2L, 24개",,"14,900원",스파클주식회사,2,개당 용량 × 총 수량: 2L × 24개,"용기 타입: 플라스틱병, 수원지: 국내산, 대용량상품: Y, 음료수 종류: 생수, 라벨 유무: 라벨없음, 쿠팡상품번호: 1653706 - 16212301798",https://www.coupang.com/vp/products/1653706?itemId=16212301798&vendorItemId=70286435633
